,2020-08-05Hour03
S77,0
S109,0
S117,0
S90,0
S61,0
S114,0
S11,0
S50,0
S107,0
S215,0
S118,0
S120,0
S33,0
S71,0
S43,0
S66,0
S112,0
S07,0
S40,0
S108,0
S113,0
S44,0
S119,0
S121,0
S35,0
S94,0
S78,0
S106,0
S81,0
S201,0
S202,0
S203,0
S204,0
S207,0
S208,0
S209,0
S210,0
S211,0
S212,0
S213,0
S214,0
S216,0
S217,0
S218,0
S219,0
S220,0
S221,0
S222,0
S223,0
S224,0
S226,0
S227,0
S228,0
S229,0
S230,0
S111,0
S900,0
S122,0
S60,0
S46,0
S84,0
S79,0
S92,0
S88,0
S123,0
S89,0
S115,0
S82,0
S24,0
S08,0
S116,0
S104,0
S100,0
S91,0
